timestamp,currency,amount,deposited,withdrawn,transferIn,transferOut,pendingCredit,pendingDebit,confirmedDebit
2026-04-17T14:23:57.017Z,XBt,3041393535,177199051,6600180000,2984800,0,0,0,0
2025-12-01T11:57:33.421Z,BMEx,11000120000,0,0,18841120000,495000000,0,0,0
2025-11-25T09:26:39.328Z,ADa,0,0,0,0,0,0,0,0
2025-11-25T09:26:35.879Z,BNb,0,0,0,0,0,0,0,0
2025-11-25T09:25:19.588Z,s,0,0,0,0,0,0,0,0
2025-11-25T09:25:15.882Z,ATOm,0,0,0,0,0,0,0,0
2025-11-25T09:25:04.934Z,LTc,0,0,0,0,0,0,0,0
2025-11-25T09:24:33.788Z,AVAx,0,0,0,0,0,0,0,0
2025-11-25T09:24:32.216Z,LOt,0,0,0,0,0,0,0,0
2025-11-25T09:24:03.095Z,POl,0,0,0,0,0,0,0,0
2025-11-25T09:23:29.114Z,BCh,0,0,0,0,0,0,0,0
2025-11-25T09:23:24.734Z,XRp,0,0,0,0,0,0,0,0
2025-11-25T09:22:55.592Z,NEAr,0,0,0,0,0,0,0,0
2025-11-25T09:22:52.847Z,DOGe,0,0,0,0,0,0,0,0
2025-06-05T03:35:55.742Z,USDt,294847649,0,0,293000000,0,0,0,0
